id,text,label
1,"Acabo de ver el nuevo trailer de Dune 3, se ve increíble la cinematografía 🎬",normal
2,¿Alguien más odia cuando se acaba el café y son las 3pm? Necesito recargar ☕,normal
3,"Hoy corrí 5k por primera vez en meses, piernas de jelly pero mente feliz 🏃",normal
4,"Recomiendo el podcast de ciencia de @cuenta, explican cuántica sin ponerte a dormir",normal
5,El clima en CDMX hoy está perfecto para trabajar desde el balcón con playlist lo-fi,normal
6,Terminé mi tesis!!! 18 meses de estrés pero ya está entregada 🎓,normal
7,¿Cuál es su comfort food favorito? Yo voto por tacos al pastor con piña obvio,normal
8,"Gran partido anoche, esa jugada en el minuto 89 fue de película ⚽",normal
9,"Empecé a leer 'Cien años de soledad' otra vez, cada página es un universo",normal
10,"Mi gato acaba de tirar la planta por tercera vez esta semana, lo amo igual 🐱",normal
11,Tips para concentrarse en home office? Llevo 2 horas procrastinando en X,normal
12,"La nueva temporada de Severance está mind-blowing, sin spoilers pero WOW",normal
13,"Hoy probé ramen casero por primera vez, quedó decente para ser amateur 🍜",normal
14,¿RT si también guardas tabs que nunca vas a leer? Tengo 847 abiertos,normal
15,"Feliz viernes a todos, que tengan buen fin de semana y descansen mucho",normal
16,"El concierto de Bad Bunny en vivo superó expectativas, producción de otro nivel",normal
17,"Aprendiendo Python con curso gratis de Harvard, día 3 y ya entiendo loops",normal
18,"Mi planta de albahaca finalmente creció, pequeñas victorias en el departamento 🌱",normal
19,Debate sano: ¿pineapple en pizza? Yo digo que sí y estoy dispuesto a discutir civilizadamente,normal
20,"Ayer vi auroras boreales en documental, bucket list actualizado",normal
21,"3 horas en fila del SAT pero ya quedó el trámite, celebrando con ice cream",normal
22,"El soundtrack de Interstellar sigue siendo obra maestra, escuchándolo mientras trabajo",normal
23,¿Cuál fue su primer videojuego? El mío fue Pokémon Red en Game Boy,normal
24,"Hoy cociné meal prep para la semana, arroz, pollo y verduras, adulting level up",normal
25,"La exposición de Frida en el museo estuvo hermosa, salí inspirada",normal
26,"Unpopular opinion: el invierno es mejor que el verano, discutan respetuosamente",normal
